seq_no,kind,product_line,trigger_line,item_no,mo_nbr,mo_nbr_step,mo_lot_nbr,work_order,doc_nbr,tool_ver,process_id,route_seq,layer_id,tank_number,qrcode,out_qty,creator,create_date,Frequency_decE1Pump,Frequency_decE2Pump,Frequency_decE3Pump,Frequency_decE4Pump,Frequency_decE1Cycle,Frequency_decE3Cycle,Frequency_decGale,Frequency_decGale2,Frequency_decHotGale,Temperature_decD1,Temperature_decD2,Temperature_decNewLiquid,Temperature_decOverFlow4,Temperature_decE1,Temperature_decE2,Temperature_decE3,Temperature_decE4,Temperature_decS1,Temperature_decS2,Temperature_decPickling,Temperature_decHotGale,Temperature_decDAddVat,Temperature_decDStoreVat,Temperature_decEStoreVat,Temperature_decSAddVat,Temperature_decSPSVat,Temperature_decMAddVat,Temperature_decCoolingWater,ConstantPressure_decD1,ConstantPressure_decD2,ConstantPressure_decE1A,ConstantPressure_decE1B,ConstantPressure_decE2Up,ConstantPressure_decE2Down,ConstantPressure_decE3Up,ConstantPressure_decE3Down,ConstantPressure_decE4Up,ConstantPressure_decE4Down,ConstantPressure_decS1,ConstantPressure_decS2,Pressure_decD1UpSpray,Pressure_decD1DownSpray,Pressure_decD2UpSpray,Pressure_decD2DownSpray,Pressure_decNewLiquidUpSpray,Pressure_decNewLiquidDownSpray,Pressure_decOverFlow1UpSpray,Pressure_decOverFlow1DownSpray,Pressure_decOverFlow2UpSpray,Pressure_decOverFlow2DownSpray,Pressure_decOverFlow3UpSpray,Pressure_decOverFlow3DownSpray,Pressure_decOverFlow4UpSpray,Pressure_decOverFlow4DownSpray,Pressure_decOverFlow5UpSpray,Pressure_decOverFlow5DownSpray,Pressure_decOverFlow6UpSpray,Pressure_decOverFlow6DownSpray,Pressure_decOverFlow7UpSpray,Pressure_decOverFlow7DownSpray,Pressure_decOverFlow8UpSpray,Pressure_decOverFlow8DownSpray,Pressure_decOverFlow9UpSpray,Pressure_decOverFlow9DownSpray,Pressure_decE1AUpSpray,Pressure_decE1ADownSpray,Pressure_decE1BUpSpray,Pressure_decE1BDownSpray,Pressure_decPump1,Pressure_decPump2,Pressure_decPump3,Pressure_decPump4,Pressure_decStopWashingUpSpray,Pressure_decStopWashingDownSpray,Pressure_decS1UpSpray,Pressure_decS1DownSpray,Pressure_decS2UpSpray,Pressure_decS2DownSpray,Pressure_decPicklingUpSpray,Pressure_decPicklingDownSpray,Pressure_decPressureRinse1UpSpra,Pressure_decPressureRinse1DownSp,Pressure_decPressureRinse2UpSpra,Pressure_decPressureRinse2DownSp,Pressure_decPressureRinse3UpSpra,Pressure_decPressureRinse3DownSp,Pressure_decPressureRinse4UpSpra,Pressure_decPressureRinse4DownSp,Pressure_decPressureRinse5UpSpra,Pressure_decPressureRinse5DownSp,Pressure_decGale1,Pressure_decGale2,Pressure_decHotGale1,Pressure_decHotGale2,Pressure_decHotGale3,Pressure_decCoolingWater,Pressure_decTopWater,Pressure_decE2UpSpray,Pressure_decE2DownSpray,Pressure_decE3UpSpray,Pressure_decE3DownSpray,Pressure_decE4UpSpray,Pressure_decE4DownSpray,FlowRate_decD1,FlowRate_decD2,FlowRate_decE1A,FlowRate_decE1B,FlowRate_decE2Up,FlowRate_decE2Down,FlowRate_decE3Up,FlowRate_decE3Down,FlowRate_decE4Up,FlowRate_decE4Down,FlowRate_decE1Cycle,FlowRate_decE3Cycle,FlowRate_decOverFlow4,FlowRate_decOverFlow7,FlowRate_decOverFlow9,FlowRate_decPressureRinse5,PH_decD1,PH_decD2,PH_decOverFlow7,PH_decPressureRinse5
20250922122548128,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 12:33:45.216935,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.0,27.8,28.2,27.2,50.1,49.7,50.6,49.9,47.8,51.5,30.1,84.9,30.7,30.2,35.0,31.7,31.2,31.4,15.9,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.5,1.6,1.5,1.6,1.7,1.7,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.8,1.9,1.9,2.5,2.5,2.5,2.5,1.9,2.0,2.4,2.4,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.5,5.6,7.7,4.7,4.4,0.0,2.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,517.3,525.2,466.9,473.4,473.1,446.3,339.5,355.4,312.5,281.2,608.1,503.0,0.0,0.0,0.0,0.0,10.85,10.89,7.61,7.81
20250922122552185,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 12:33:49.294826,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.0,27.8,28.2,27.2,50.1,49.7,50.6,49.9,47.8,51.5,30.1,84.9,30.7,30.2,35.0,31.7,31.2,31.4,15.9,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.5,1.6,1.5,1.6,1.7,1.7,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.3,1.4,1.4,1.3,1.4,1.4,1.5,1.4,1.4,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.9,1.9,2.0,2.5,2.5,2.5,2.5,1.9,2.0,2.4,2.5,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.5,5.7,7.7,4.6,4.4,0.0,2.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,517.0,525.4,468.2,473.8,471.3,445.5,339.5,355.3,312.1,281.6,605.8,504.4,0.0,0.0,0.0,0.0,10.82,10.87,7.6,7.83
20250922122556243,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 12:33:53.324456,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.0,27.8,28.2,27.2,50.1,49.9,50.6,49.9,47.3,51.5,30.1,84.9,30.7,30.2,35.0,31.7,31.2,31.4,15.9,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.5,1.6,1.5,1.6,1.7,1.7,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.5,1.4,1.4,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.9,1.9,2.0,2.5,2.5,2.5,2.5,1.9,2.0,2.4,2.5,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.4,5.7,7.7,4.6,4.4,0.0,2.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,517.6,523.8,469.5,473.6,471.0,444.4,338.1,354.4,311.7,282.1,604.0,504.2,0.0,0.0,0.0,0.0,10.82,10.87,7.6,7.83
20250922122600289,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 12:33:57.368552,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.0,27.8,28.2,27.2,50.1,49.9,50.6,49.9,47.3,51.6,30.1,84.9,30.7,30.2,35.0,31.8,31.2,31.4,16.0,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.5,1.6,1.5,1.6,1.7,1.7,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.5,1.4,1.4,3.0,3.0,2.9,3.0,1.6,1.6,1.7,1.9,2.0,2.0,2.5,2.5,2.5,2.5,1.9,2.0,2.4,2.5,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.4,5.7,7.7,4.6,4.4,0.0,2.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,516.2,523.0,468.3,473.4,471.7,445.2,337.0,354.0,310.8,282.4,603.2,504.3,0.0,0.0,0.0,0.0,10.83,10.89,7.61,7.82
20250922122604407,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 12:34:01.484015,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.0,27.8,28.2,27.2,50.1,49.9,50.6,49.9,47.3,51.6,30.1,84.9,30.7,30.2,35.0,31.8,31.2,31.4,16.0,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.5,1.6,1.5,1.6,1.7,1.7,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.5,1.4,1.4,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.9,2.0,2.0,2.5,2.5,2.5,2.5,1.9,2.0,2.4,2.5,2.5,2.5,2.4,2.5,2.5,2.4,2.5,2.4,5.6,7.7,4.7,4.4,0.0,2.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,514.4,526.1,464.9,473.7,473.7,445.7,337.1,355.1,311.1,282.3,603.9,505.4,0.0,0.0,0.0,0.0,10.83,10.89,7.61,7.82
20250922122608470,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 12:34:05.546137,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.0,27.8,28.2,27.2,50.1,50.2,50.6,49.9,47.3,51.6,30.1,84.9,30.7,30.2,35.0,31.8,31.2,31.4,16.0,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.5,1.6,1.5,1.6,1.7,1.7,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.3,1.4,1.4,1.4,1.3,1.3,1.3,1.4,1.5,1.4,1.4,3.0,3.0,3.0,3.1,1.7,1.7,1.7,1.9,2.0,2.0,2.5,2.5,2.5,2.5,1.9,2.0,2.4,2.5,2.5,2.5,2.4,2.5,2.5,2.4,2.5,2.4,5.6,7.7,4.7,4.4,0.0,2.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,513.5,526.9,463.4,474.5,475.5,444.2,338.7,357.0,313.1,282.2,605.3,505.3,0.0,0.0,0.0,0.0,10.84,10.89,7.61,7.83
20250922122616653,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 12:34:13.737657,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.0,27.8,28.2,27.2,50.1,50.2,50.5,50.0,46.5,51.7,30.1,84.9,30.6,30.2,35.0,31.8,31.2,31.4,16.0,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.5,1.6,1.5,1.6,1.7,1.8,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.4,1.3,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.4,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.9,1.9,2.0,2.5,2.5,2.4,2.5,1.9,2.0,2.4,2.5,2.5,2.5,2.4,2.5,2.4,2.4,2.5,2.4,5.6,7.7,4.7,4.4,0.0,2.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,512.8,527.1,464.7,473.7,474.0,442.6,340.5,354.5,313.3,283.0,606.4,504.6,0.0,0.0,0.0,0.0,10.83,10.88,7.61,7.82
20250922122624286,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 12:34:21.405774,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.0,27.9,28.2,27.2,50.1,50.4,50.5,50.0,46.5,51.7,30.1,84.9,30.6,30.2,35.0,31.8,31.2,31.4,16.0,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.5,1.6,1.5,1.6,1.7,1.7,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.5,1.4,1.4,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.8,1.9,2.0,2.5,2.6,2.5,2.6,1.9,2.0,2.4,2.5,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.5,5.6,7.8,4.7,4.4,0.0,2.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,516.8,527.7,464.6,470.6,473.6,444.0,339.6,351.3,312.4,283.0,604.2,504.4,0.0,0.0,0.0,0.0,10.84,10.88,7.61,7.84
20250922122628458,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 12:34:25.54894,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.0,27.9,28.2,27.2,50.1,50.4,50.5,50.0,47.2,51.7,30.2,85.0,30.6,30.2,35.0,31.8,31.2,31.4,16.1,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.5,1.6,1.5,1.6,1.7,1.8,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.5,1.4,1.4,3.0,3.0,2.9,3.0,1.7,1.6,1.7,1.8,1.9,2.0,2.5,2.6,2.5,2.6,1.9,2.0,2.4,2.5,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.5,5.6,7.8,4.7,4.4,0.0,2.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,514.2,528.4,466.5,471.4,474.3,445.0,339.1,352.1,311.3,282.3,605.2,503.6,0.0,0.0,0.0,0.0,10.84,10.88,7.61,7.84
20250922122636505,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 12:34:33.593514,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.0,28.5,28.2,27.2,50.1,50.4,50.5,50.0,47.2,51.7,30.2,85.0,30.6,30.2,35.0,31.8,31.3,31.4,16.1,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.5,1.6,1.5,1.6,1.7,1.7,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.5,1.4,1.4,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.9,1.9,2.0,2.5,2.6,2.5,2.6,1.9,2.0,2.4,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.5,5.7,7.7,4.6,4.4,0.0,2.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,516.6,527.4,467.7,473.5,475.4,445.2,341.5,354.6,309.5,281.6,605.1,505.6,0.0,0.0,0.0,0.0,10.83,10.89,7.61,7.84
