seq_no,kind,product_line,trigger_line,item_no,mo_nbr,mo_nbr_step,mo_lot_nbr,work_order,doc_nbr,tool_ver,process_id,route_seq,layer_id,tank_number,qrcode,out_qty,creator,create_date,Frequency_decE1Pump,Frequency_decE2Pump,Frequency_decE3Pump,Frequency_decE4Pump,Frequency_decE1Cycle,Frequency_decE3Cycle,Frequency_decGale,Frequency_decGale2,Frequency_decHotGale,Temperature_decD1,Temperature_decD2,Temperature_decNewLiquid,Temperature_decOverFlow4,Temperature_decE1,Temperature_decE2,Temperature_decE3,Temperature_decE4,Temperature_decS1,Temperature_decS2,Temperature_decPickling,Temperature_decHotGale,Temperature_decDAddVat,Temperature_decDStoreVat,Temperature_decEStoreVat,Temperature_decSAddVat,Temperature_decSPSVat,Temperature_decMAddVat,Temperature_decCoolingWater,ConstantPressure_decD1,ConstantPressure_decD2,ConstantPressure_decE1A,ConstantPressure_decE1B,ConstantPressure_decE2Up,ConstantPressure_decE2Down,ConstantPressure_decE3Up,ConstantPressure_decE3Down,ConstantPressure_decE4Up,ConstantPressure_decE4Down,ConstantPressure_decS1,ConstantPressure_decS2,Pressure_decD1UpSpray,Pressure_decD1DownSpray,Pressure_decD2UpSpray,Pressure_decD2DownSpray,Pressure_decNewLiquidUpSpray,Pressure_decNewLiquidDownSpray,Pressure_decOverFlow1UpSpray,Pressure_decOverFlow1DownSpray,Pressure_decOverFlow2UpSpray,Pressure_decOverFlow2DownSpray,Pressure_decOverFlow3UpSpray,Pressure_decOverFlow3DownSpray,Pressure_decOverFlow4UpSpray,Pressure_decOverFlow4DownSpray,Pressure_decOverFlow5UpSpray,Pressure_decOverFlow5DownSpray,Pressure_decOverFlow6UpSpray,Pressure_decOverFlow6DownSpray,Pressure_decOverFlow7UpSpray,Pressure_decOverFlow7DownSpray,Pressure_decOverFlow8UpSpray,Pressure_decOverFlow8DownSpray,Pressure_decOverFlow9UpSpray,Pressure_decOverFlow9DownSpray,Pressure_decE1AUpSpray,Pressure_decE1ADownSpray,Pressure_decE1BUpSpray,Pressure_decE1BDownSpray,Pressure_decPump1,Pressure_decPump2,Pressure_decPump3,Pressure_decPump4,Pressure_decStopWashingUpSpray,Pressure_decStopWashingDownSpray,Pressure_decS1UpSpray,Pressure_decS1DownSpray,Pressure_decS2UpSpray,Pressure_decS2DownSpray,Pressure_decPicklingUpSpray,Pressure_decPicklingDownSpray,Pressure_decPressureRinse1UpSpra,Pressure_decPressureRinse1DownSp,Pressure_decPressureRinse2UpSpra,Pressure_decPressureRinse2DownSp,Pressure_decPressureRinse3UpSpra,Pressure_decPressureRinse3DownSp,Pressure_decPressureRinse4UpSpra,Pressure_decPressureRinse4DownSp,Pressure_decPressureRinse5UpSpra,Pressure_decPressureRinse5DownSp,Pressure_decGale1,Pressure_decGale2,Pressure_decHotGale1,Pressure_decHotGale2,Pressure_decHotGale3,Pressure_decCoolingWater,Pressure_decTopWater,Pressure_decE2UpSpray,Pressure_decE2DownSpray,Pressure_decE3UpSpray,Pressure_decE3DownSpray,Pressure_decE4UpSpray,Pressure_decE4DownSpray,FlowRate_decD1,FlowRate_decD2,FlowRate_decE1A,FlowRate_decE1B,FlowRate_decE2Up,FlowRate_decE2Down,FlowRate_decE3Up,FlowRate_decE3Down,FlowRate_decE4Up,FlowRate_decE4Down,FlowRate_decE1Cycle,FlowRate_decE3Cycle,FlowRate_decOverFlow4,FlowRate_decOverFlow7,FlowRate_decOverFlow9,FlowRate_decPressureRinse5,PH_decD1,PH_decD2,PH_decOverFlow7,PH_decPressureRinse5
20250922175437877,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 18:02:35.402368,129.99,129.99,129.99,124.99,139.99,139.99,430.0,0.0,630.0,28.2,29.0,28.1,27.2,49.7,50.4,50.4,50.2,48.5,52.1,30.1,84.5,31.9,31.1,35.0,32.2,32.2,33.6,14.7,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.6,1.6,1.5,1.6,1.7,1.7,1.3,1.3,1.4,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.5,1.5,1.4,3.0,3.0,2.9,3.0,1.7,1.6,1.7,1.9,1.9,1.9,2.4,2.4,2.5,2.6,2.0,2.0,2.4,2.5,2.5,2.5,2.4,2.5,2.4,2.4,2.5,2.4,5.6,7.7,4.6,4.4,0.0,2.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,519.3,524.6,464.7,472.5,471.6,442.1,340.4,354.8,314.3,281.7,603.9,502.5,0.0,0.0,0.0,0.0,10.87,10.94,7.62,7.93
20250922175449550,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 18:02:47.072128,129.99,129.99,129.99,124.99,139.99,139.99,430.0,0.0,630.0,28.6,28.7,28.0,27.2,49.7,50.3,50.4,50.2,48.5,52.1,30.2,84.6,31.9,31.1,35.0,32.2,32.2,33.6,14.7,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.6,1.6,1.5,1.6,1.7,1.7,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.5,1.4,3.0,3.0,2.9,3.0,1.7,1.6,1.7,1.9,1.9,2.0,2.5,2.5,2.5,2.5,2.0,2.0,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.4,2.4,2.5,5.6,7.7,4.6,4.5,0.0,2.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,520.9,524.7,462.5,472.8,472.9,442.0,340.9,356.1,313.1,280.6,608.4,507.8,0.0,0.0,0.0,0.0,10.86,10.94,7.62,7.93
20250922175453704,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 18:02:51.252571,129.99,129.99,129.99,124.99,139.99,139.99,430.0,0.0,630.0,28.7,28.7,28.0,27.2,49.7,50.3,50.4,50.2,48.5,52.1,30.2,84.6,31.9,31.1,35.0,32.2,32.2,33.6,14.7,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.6,1.6,1.5,1.6,1.7,1.8,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.4,1.3,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.4,3.0,3.0,2.9,3.0,1.7,1.6,1.7,1.9,1.9,2.0,2.4,2.5,2.5,2.5,2.0,2.0,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.4,2.4,2.5,5.6,7.7,4.6,4.5,0.0,2.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,519.4,523.7,461.4,474.2,472.6,442.4,341.1,356.8,314.8,281.4,607.9,506.8,0.0,0.0,0.0,0.0,10.86,10.94,7.62,7.93
20250922175505813,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 18:03:03.340081,129.99,129.99,129.99,124.99,139.99,139.99,430.0,0.0,630.0,28.7,28.5,28.0,27.2,49.8,50.1,50.4,50.2,47.9,52.2,30.2,84.6,31.9,31.1,35.0,32.2,32.2,33.5,14.8,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.6,1.6,1.5,1.6,1.7,1.8,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.5,1.4,3.0,3.0,2.9,3.0,1.6,1.6,1.7,1.9,1.9,1.9,2.4,2.5,2.5,2.5,1.9,2.0,2.4,2.4,2.5,2.4,2.4,2.5,2.4,2.4,2.5,2.5,5.6,7.7,4.6,4.5,0.0,2.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,516.8,523.8,465.5,474.7,472.4,443.5,340.1,359.5,309.3,280.6,604.7,503.0,0.0,0.0,0.0,0.0,10.85,10.95,7.61,7.92
20250922175514000,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 18:03:11.525934,129.99,129.99,129.99,124.99,139.99,139.99,430.0,0.0,630.0,28.5,28.3,28.1,27.2,49.8,49.9,50.4,50.2,47.9,52.2,30.2,84.6,31.9,31.1,35.0,32.2,32.2,33.5,14.8,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.6,1.6,1.5,1.6,1.7,1.8,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.5,1.5,1.4,3.0,3.0,2.9,3.0,1.7,1.6,1.7,1.9,1.9,2.0,2.5,2.5,2.5,2.6,1.9,2.0,2.4,2.4,2.5,2.4,2.4,2.5,2.4,2.4,2.5,2.4,5.6,7.7,4.6,4.5,0.0,2.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,518.0,521.8,463.2,472.7,475.9,441.1,340.9,357.9,310.5,280.1,604.5,502.1,0.0,0.0,0.0,0.0,10.87,10.94,7.62,7.93
20250922175522058,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 18:03:19.583771,129.99,129.99,129.99,124.99,139.99,139.99,430.0,0.0,630.0,28.5,28.3,28.1,27.2,49.8,49.9,50.4,50.2,47.8,52.2,30.2,84.6,31.9,31.1,35.0,32.2,32.2,33.5,14.8,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.6,1.6,1.5,1.6,1.7,1.8,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,3.0,3.0,2.9,3.0,1.6,1.6,1.7,1.9,1.9,2.0,2.5,2.5,2.5,2.6,2.0,2.0,2.4,2.4,2.5,2.5,2.4,2.4,2.5,2.4,2.5,2.5,5.6,7.7,4.6,4.5,0.0,2.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,515.5,524.4,464.1,474.8,471.9,442.1,340.8,356.0,312.6,281.4,603.2,504.5,0.0,0.0,0.0,0.0,10.88,10.95,7.62,7.92
20250922175526125,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 18:03:23.66483,129.99,129.99,129.99,124.99,139.99,139.99,430.0,0.0,630.0,28.3,28.1,28.1,27.2,49.8,49.9,50.4,50.2,47.8,52.2,30.2,84.6,31.9,31.1,35.0,32.2,32.2,33.5,14.8,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.6,1.6,1.5,1.6,1.7,1.8,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,3.0,3.0,2.9,3.0,1.7,1.6,1.7,1.9,1.9,2.0,2.5,2.5,2.6,2.6,2.0,2.0,2.4,2.4,2.5,2.5,2.4,2.5,2.5,2.4,2.5,2.4,5.6,7.7,4.6,4.5,0.0,2.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,517.6,528.5,464.3,473.6,471.3,442.2,339.5,356.9,312.7,281.7,604.1,505.7,0.0,0.0,0.0,0.0,10.88,10.95,7.61,7.92
20250922175529698,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 18:03:27.219842,129.99,129.99,129.99,124.99,139.99,139.99,430.0,0.0,630.0,28.3,28.1,28.1,27.2,49.8,49.9,50.4,50.2,48.1,52.1,30.2,84.6,31.9,31.1,35.0,32.2,32.2,33.5,14.8,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.6,1.6,1.5,1.6,1.7,1.7,1.3,1.3,1.4,1.4,1.5,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.4,3.0,3.0,2.9,3.0,1.7,1.6,1.7,1.9,1.9,2.0,2.5,2.5,2.6,2.6,2.0,2.0,2.4,2.4,2.5,2.5,2.4,2.5,2.5,2.4,2.5,2.4,5.6,7.7,4.6,4.5,0.0,2.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,519.5,528.8,465.1,472.1,472.7,442.3,339.0,355.9,312.1,281.2,606.1,506.7,0.0,0.0,0.0,0.0,10.86,10.94,7.61,7.92
20250922175537811,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 18:03:35.365535,129.99,129.99,129.99,124.99,139.99,139.99,430.0,0.0,630.0,28.3,28.0,28.1,27.2,49.8,49.9,50.4,50.2,48.1,52.1,30.2,84.6,31.9,31.1,35.0,32.2,32.2,33.5,14.9,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.6,1.6,1.5,1.6,1.7,1.8,1.3,1.3,1.3,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.5,1.4,3.0,3.0,2.9,3.0,1.7,1.6,1.7,1.9,1.9,1.9,2.5,2.5,2.5,2.6,2.0,2.0,2.4,2.5,2.5,2.5,2.4,2.5,2.5,2.4,2.5,2.4,5.6,7.7,4.6,4.5,0.0,2.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,515.8,524.4,461.6,472.3,472.6,441.2,340.5,352.6,313.6,280.3,607.4,504.8,0.0,0.0,0.0,0.0,10.87,10.94,7.62,7.92
20250922175537812,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-22 18:03:35.366822,129.99,129.99,129.99,124.99,139.99,139.99,430.0,0.0,630.0,28.3,28.0,28.1,27.2,49.8,49.9,50.4,50.2,48.1,52.1,30.2,84.6,31.9,31.1,35.0,32.2,32.2,33.5,14.9,1.7,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.6,1.6,1.5,1.6,1.7,1.8,1.3,1.3,1.3,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.5,1.4,3.0,3.0,2.9,3.0,1.7,1.6,1.7,1.9,1.9,1.9,2.5,2.5,2.5,2.6,2.0,2.0,2.4,2.5,2.5,2.5,2.4,2.5,2.5,2.4,2.5,2.4,5.6,7.7,4.6,4.5,0.0,2.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,515.8,524.4,461.6,472.3,472.6,441.2,340.5,352.6,313.6,280.3,607.4,504.8,0.0,0.0,0.0,0.0,10.87,10.94,7.62,7.92
